FIRSTNAME,LASTNAME,AFFIL
Bryce,Allen,Harvard University
Emily,Alsentzer,MIT
Amelia,Averitt,Columbia University
Homa,B Hashemi,Microsoft
Mohammad Taha,Bahadori,Georgia Institute of Technology
Annamarie,Bair,Massachusetts Institute of Technology
Jeya Balaji,Balasubramanian,University of Pittsburgh
Matt,Barnes,Carnegie Mellon University
Pouya,Bashivan,MIT
Andrew,Beam,Harvard University
Brett,Beaulieu-Jones,Harvard Medical School
Heather,Berlin,Massachusetts Institute of Technology
Gabriela,Berner,Harvard University
Davis,Blalock,Massachusetts Institute of Technology
Willie,Boag,MIT
James,Brown,Harvard University
Alison,Callahan,Stanford University
Pashmina,Cameron,Microsoft
David,Carlson,Columbia University
Ken,Chang,MIT
Geeticka,Chauhan,MIT
Lujie,Chen,Carnegie Mellon University
Chaofan,Chen,Duke University
George,Chen,Carnegie Mellon University
Irene,Chen,MIT
Li-Fang,Cheng,Princeton University
Corey,Chivers,University of Pennsylvania
Edward,Choi,Georgia Institute of Technology
Giles,Clermont,University fo Pittsburgh
Evan,Cofer,Princeton University
Adrian,Dalca,Massachusetts Institute of Technology
Iman,Deznabi,Bilkent University
Rasheed,El-Bouri,University of Oxford
Hossein,Estiri,Harvard University
Melanie,F. Pradier,Harvard University
Chen,Fang,Florida International University
Sam,Finlayson,"Harvard Medical School, MIT"
Madalina,Fiterau,Stanford University
Scott,Fleming,"Department of Biomedical Data Science, Stanford University"
Jessica,Forde,Columbia University
Luca,Foschini,Evidation Health
Ian,Fox,University of Michigan
Jason,Fries,Stanford University
Steve,Gallant,MultiModel Research
Siong Thye,Goh,Massachusetts Institute of Technology
Jen,Gong,"University of California, Berkeley"
Omer,Gottesman,Harvard University
Dev,Goyal,University of Michigan
Sean,Grullon,GlaxoSmithKline
Michelle,Guo,Stanford University
Shashank,Gupta,"International Institute of Information Technology, Hyderabad, India"
Katharine,Henry,Johns Hopkins University
Tzu-Ming,Hsu,Massachusetts Institute of Technology
Michael,Hughes,Tufts University
Nathan,Hunt,Massachusetts Institute of Technology
Benjamin,Huynh,University of Chicago
Stephanie,Hyland,ETH Zurich
Fattaneh,Jabbari,University of Pittsburgh
Natasha,Jaques,Massachusetts Institute of Technology
Bruno,Jedynak,Portland State University
Di,Jin,MIT
Alistair,Johnson,Massachusetts Institute of Technology
Kipp,Johnson,Icahn School of Medicine at Mount Sinai
Shalmali,Joshi,The University of Texas at Austin
Kenneth Jung,Jung,Stanford University
Theofanis,Karaletsos,Uber AI Labs
Taylor,Killian,Harvard University
Shilpa,Kobren,Harvard University
Zhaobin,Kuang,Stanford University
Eric,Laber,North Carolina State University
Ya,Le,Stanford University
David,Ledbetter,Children's Hospital Los Angeles
Hyunkwang,Lee,Harvard University
Maggie,Makar,Massachusetts Institute of Technology
Muhammad,Masood,Harvard University
Matthew,Mcdermott,MIT
Andrew,Miller,Harvard University
Ramin,Moghaddass,University of Miami
Pablo,Moreno-Munoz,Universidad Carlos III de Madrid
Bilgel,Murat,National Institute on Aging
Samaneh,Nasiri Ghosheh Bolagh,Emory University
Tristan,Naumann,MIT
Sarvesh,Nikumbh,"Max Planck Institute for Informatics, Computational Biology and Applied Algorithmics"
Jeeheh,Oh,University of Michigan
Mahdi,Pakdaman Naeini,University of Pittburgh
Konstantina,Palla,University of Oxford
Weiwei,Pan,Harvard University
Kruti,Pandya,Portland State University
Sonali,Parbhoo,University of Basel
Yoonyoung,Park,IBM
Ioakeim,Perros,Georgia Institute of Technology
Tom,Pollard,Massachusetts Institute of Technology
Sandhya,Prabhakaran,Memorial Sloan Kettering Cancer Centre
Niranjani,Prasad,Princeton University
Sanjay,Purushotham,University of Southern California
Aniruddh,Raghu,University of Cambridge
Ognjen Oggi,Rudovic,Massachusetts Institute of Technology
Marc-Andre,Schulz,RWTH Aachen University
Martin,Seneviratne,Stanford
Elena,Sergeeva,MIT
Farah,Shamout,University of Oxford
Bhanu Pratap,Singh,University of Massachusetts
Nataliya,Sokolovska,"Sorbonne University, INSERM, NutriOmics"
Hossein,Soleimani,Johns Hopkins University
Erika,Strandberg,Stanford University
Adarsh,Subbaswamy,Johns Hopkins University
Zhaonan,Sun,IBM
Madhumita,Sushil,Antwerp University Hospital; University of Antwerp
Sara,Taylor,Massachusetts Institute of Technology
Jessica,Torres,Stanford University
Berk,Ustun,Harvard University
Isabel,Valera,MPI for Intelligent Systems
Tempest,van Schaik,Microsoft
Paroma,Varma,Stanford University
Rielly,Victor,Portland State University
Julia E.,Vogt,University of Basel
Haishuai,Wang,Harvard University
Gregory,Way,University of Pennsylvania
Wei-Hung,Weng,"Computer Science and Artificial Intelligence Laboratory, MIT"
Sarah,Wiegreffe,Georgia Institute of Technology
Zhiwei Steven,Wu,University of Pennsylvania
Yanbo,Xu,Carnegie Mellon University
Alexandre,Yahi,Columbia University
Hector,Yee,Google
Kun-Hsing,Yu,Harvard University
William,Yuan,Harvard University
Lee,Zamparo,University of Toronto
Javier,Zazo,Harvard University
John,Zech,California Pacific Medical Center
Hejia,Zhang,Princeton University
Wei,Zhang,University of Wisconsin-Madison
Tingting,Zhu,University of Oxford
