PAPERID,AUTHORS,TITLE,SESSION,SPOTLIGHT
3,Albert Haque and Corinna Fukushima, Automatic Documentation of ICD Codes with Far-Field Speech Recognition,PM
4,Luke O'Connor and Alkes Price, Distinguishing correlation from causation using genome-wide association studies,PM
5,Xu Chen and Saratendu Sethi, Robust Active Learning for Electrocardiographic Signal Classification,DIGITAL
7,"Viraj Prabhu, Anitha Kannan, Murali Ravuri, Manish Chablani, David Sontag, Xavier Amatriain", Prototypical Clustering Networks for Dermatological Disease Diagnosis,PM
9,"Albert Haque, Michelle Guo, Adam Miner and Li Fei-Fei", Measuring the Severity of Depressive Symptoms from Spoken Language and 3D Facial Expressions,AM
13,"Bryan He, James Zou and Matt Thomson", Identification of Predictive Subpopulations in Heterogeneous Samples,DIGITAL
14,"Karthik Sarma, Brennan M,  R,  Spiegel, Mark W,  Reid, Shawn Chen, Raina M,  Merchant, Emily Seltzer and Corey W, Arnold", Can We Estimate the Health-Related Quality of Life of Twitter Users Using Tweets? A Feasibility Study,DIGITAL
15,"Arijit Ukil, Soma Bandyopadhyay, Chetanya Puri and Arpan Pal", Class Augmented Semi-Supervised Learning for Practical Clinical Analytics on Physiological Signals,DIGITAL
16,"Girmaw Abebe Tadesse, Tingting Zhu and David Clifton", Cross-domain Transfer Learning for Cardiovascular Diseases,DIGITAL
17,Md-Nafiz Hamid and Iddo Friedberg, Reliable uncertainty estimate for antibiotic resistance classification with Stochastic Gradient Langevin Dynamics,DIGITAL
18,"Craig A Glastonbury, Michael Ferlaino, Christoffer Nellaker and Cecilia Lindgren", Adjusting for Confounding in Unsupervised Latent Representations of Images,DIGITAL
19,"Nathaniel Braman, David Beymer and Ehsan Dehghan", Disease Detection in Weakly Annotated Volumetric Medical Images using a Convolutional LSTM Network,PM
21,"Mina Rezaei, Haojin Yang and Christoph Meinel", Generative Adversarial Frameworkfor Learning Multiple Clinical Tasks,DIGITAL
23,Ruidi Chen and Ioannis Paschalidis, Learning Optimal Personalized Treatment Rules Using Robust Regression Informed K-NN,DIGITAL
24,Aaron Masino and Kaitlin Folweiler, Unsupervised learning with GLRM feature selection reveals novel traumatic brain injury phenotypes,DIGITAL
27,Shazia Akbar and Anne Martel, Cluster-Based Learning from Weakly Labeled Bags in Digital Pathology,PM
28,"Owen Lahav, Nicholas Mastronarde and Mihaela van der Schaar", What is Interpretable? Using Machine Learning to Design Interpretable Decision-Support Systems,AM,Y
29,"Xue Teng, Fuad Gwadry, Haley McConkey, Scott Ernst and Femida Gwadry-Sridhar", An adaptive treatment recommendation and outcome prediction model for metastatic melanoma,DIGITAL
30,Byung-Hoon Kim and Jong Chul Ye, Decorrelating the Brain Dynamics with Recurrent Neural Network for Schizophrenia Classification,PM
31,"Antoine Neuraz, Leonardo Campillos Llanos, Anita Burgun and Sophie Rosset", Natural language understanding for task oriented dialog in the biomedical domain in a low ressources context,AM
32,"Henghui Zhu, Ioannis Paschalidis and Amir Tahmasebi", Clinical Concept Extraction with Contextual Word Embedding,AM
33,"Changhee Lee, Nicholas Mastronarde and Mihaela van der Schaar", Estimation of Individual Treatment Effect in Latent Confounder Models via Adversarial Learning,PM,Y
35,"Carl Rietschel, Jinsung Yoon and Mihaela van der Schaar", Feature Selection for Survival Analysis with Competing Risks using Deep Learning,DIGITAL
36,"Daniel Jarrett, Jinsung Yoon and Mihaela van der Schaar", MATCH-Net: Dynamic Prediction in Survival Analysis using Convolutional Neural Networks,AM,Y
37,"Spiros Denaxas, Pontus Stenetorp, Sebastian Riedel, Maria Pikoula, Richard Dobson and Harry Hemingway", Application of Clinical Concept Embeddings for Heart Failure Prediction in UK EHR data,DIGITAL
38,"Sina Rashidian, Janos Hajagos, Richard Moffitt, Fusheng Wang, Xinyu Dong, Kayley Abell-Hart, Kimberly Noel, Rajarsi Gupta, Mathew Tharakan, Veena Lingam, Joel Saltz and Mary Saltz", Disease phenotyping using deep learning: A diabetes case study,AM
39,"Gurunath Reddy M, Tanumay Mandal and K", Sreenivasa Rao,DIGITAL
39,"Gurunath Reddy M, Tanumay Mandal and K. Sreenivasa Rao", Glottal Closure Instants Detection From Pathological Acoustic Speech Signal Using Deep Learning,AM
41,"Aniruddh Raghu, Matthieu Komorowski and Sumeetpal Singh", Model-Based Reinforcement Learning for Sepsis Treatment,AM,Y
42,"Sandesh Ghimire, Jwala Dhamala, Prashnna Kumar Gyawali and Linwei Wang", Generative Modeling and Inverse Imaging of Cardiac Transmembrane Potential,PM,Y
47,"Kristen Severson, Soumya Ghosh and Kenney Ng", Unsupervised learning with contrastive latent variable models,PM
48,"Chun-Hung Chao, Yen-Chi Cheng, Hsien-Tzu Cheng, Chi-Wen Huang, Tsung-Ying Ho, Chen-Kan Tseng, Le Lu and Min Sun", Radiotherapy Target Contouring with Convolutional Gated Graph Neural Network,PM,Y
49,"Thomas Janssoone, Pierre Rinder, Pierre Hornus, Clémence Bic and Dora Kanoun", Machine Learning on Electronic Health Records: Models and Features Usages to predict Medication Non-Adherence,DIGITAL
52,"Nikita Moriakov, Koen Michielsen, Jonas Adler, Ritse Mann, Ioannis Sechopoulos and Jonas Teuwen", Digital Breast Tomosynthesis Reconstruction using Deep Learning,DIGITAL
53,"Cedric Beaulac, Jeffrey S,  Rosenthal and David Hodgson", A Deep Latent-Variable Model application to Select Treatment Intensity in Survival Analysis,DIGITAL
54,"Dianbo Liu, Tim Miller, Raheel Sayeed and Kenneth Mandl", FADL:Federated-Autonomous Deep Learning for Distributed Electronic Health Record,DIGITAL
55,"Wen Wang, Rema Padman and Nirav Shah", Early Stratification of Patients at Risk for Postoperative Complications after Elective Colectomy,DIGITAL
