PAPERID,AUTHORS,TITLE,SESSION,,,,
31,"Yanan Sui, Yisong Yue and Joel Burdick",Correlational dueling bandits for clinical treatment in large decision spaces,AM,,,,
111,"Amy Jin, Serena Yeung, Jeffrey Jopling, Jonathan Krause, Dan Azagury, Arnold Milstein and Li Fei-Fei", Tool detection and operative skill assessment in surgical videos using region-based convolutional neural networks,AM,,,,
10,Aaqib Saeed and Stojan Trajanovski., Personalized Driver Stress Detection with Multi-task Neural Networks using Physiological Signals,AM,,,,
44,"Stephanie Hyland, Cristóbal Esteban and Gunnar Rätsch",Real-valued (Medical) Time Series Generation with Recurrent Conditional GANs,AM,,,,
52,Nathan Kallus., Off-Policy Learning Under Noncompliance,AM,,,,
101,"Maruan Al-Shedivat, Avinava Dubey and Eric Xing",Personalized Survival Prediction with Contextual Explanation Networks,PM,,,,
117,"Gabriel M. Bianconi, Rishab Mehra, Serena Yeung, Francesca Salipur, Jeffrey Jopling, Lance Downing, Albert Haque, Alexandre Alahi, Brandi Campbell, Kayla Deru, William Beninati, Arnold Milstein and Li Fei-Fei", Vision-Based Prediction of ICU Mobility Care Activities using Recurrent Neural Networks,PM,,,,
2,Christoph Kurz and Laura Hatfield., Bayesian Nonparametric Clustering and Inference for Inpatient Health Care Utilization,PM,,,,
20,"Ming-Zher Poh, Yukkee C. Poh, Chun-Ka Wong, Pak-Hei Chan and Chung-Wah Siu", Deep Convolutional Networks for Detecting Arrhythmias from Pulsatile Signals,PM,,,,
23,"Ioakeim Perros, Evangelos Papalexakis, Elizabeth Searles, Woosang Lim, Haesun Park and Jimeng Sun", Unsupervised Phenotype Scoring,PM,,,,
32,"Iiris Sundin, Tomi Peltola, Muntasir Mamun Majumder, Pedram Daee, Marta Soare, Homayun Afrabandpey, Caroline Heckman, Samuel Kaski and Pekka Marttinen",Ask the doctor -- Improving drug sensitivity predictions through active expert knowledge elicitation,AM,,,,
40,"Hyunwoo Lee, Jooyoung Kim, Dojun Yang and Joon-Ho Kim", Embedded Real-Time Fall Detection Using Deep Learning For Elderly Care,AM,,,,
45,"Michael Hughes, John Hope, Leah Weiner, Thomas McCoy, Roy Perlis, Erik Sudderth and Finale Doshi-Velez", Prediction-Constrained Topic Models for Antidepressant Recommendation,PM,,,,
59,"Aydan Gasimova, Giovanni Montana and Daniel Rueckert", Automated Knee X-ray Report Generation,AM,,,,
75,"Disi Ji, Eric Nalisnick and Padhraic Smyth", Mondrian Processes for Flow Cytometry Analysis,AM,,,,
78,"Nishith Khandwala, Alexander Ratner, Jared Dunnmon, Roger Goldman, Matthew Lungren, Daniel Rubin and Chris Re", Cross-Modal Data Programming for Medical Images,AM,,,,
86,"Daniel Lopez-Martinez, Ognjen Rudovic and Rosalind Picard", Physiological and behavioral profiling for nociceptive pain estimation using personalized multitask learning,AM,,,,
106,"Tristan Naumann, Willie Boag, Elena Sergeeva, Saurabh Kulshreshtha and Anna Rumshisky",CliNER 2.0: Accessible and Accurate Clinical Concept Extraction,AM,,,,
