NAME,INSTITUTION
Natalia Antropova,University of Chicago
Chloe Pou-Prom,University of Toronto
Aniruddh Raghu,University of Cambridge
Adam McCarthy,University of Oxford
Alessandro De Palma,MIT
Amy Jin,Stanford University
Hugh Chen,University of Washington
Sanjay Purushotham,University of Southern California
Disi Ji,UC Irvine
Kartik Ahuja,UCLA
Michelle Guo,Stanford University
Wei-Hung Weng,MIT
Willie Boag,MIT
Ioakeim Perros,Georgia Institute of Technology
Alexandre Yahi,Columbia University
Samaneh Nasiri Ghosheh Bolagh,Emory Univeristy
Kelly Peterson,MIT
Gregory P. Way,University of Pennsylvania
Alican Bozkurt,Northeastern University
Joseph Futoma,Duke University
Stephanie Hyland,ETHZ
Stojan Trajanovski,Delft University of Tehcnology
Christoph Kurz,Helmholtz Zentrum München
Tingting Zhu,University of Oxford
Jumana Dakka,Rutgers University
